[INFO][tm:2018-12-28 20:14:14,348][pt:8980:9952][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:14:14] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:14:14,424][pt:8980:9952][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:14:14] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:14:19,150][pt:8980:9952][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:14:19,151][pt:8980:9952][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ssssssssss
[INFO][tm:2018-12-28 20:14:19,154][pt:8980:9952][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:14:19] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:14:19,246][pt:8980:9952][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:14:19] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:14:28,505][pt:8980:9952][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:14:28,505][pt:8980:9952][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ssssssssss
[INFO][tm:2018-12-28 20:14:28,509][pt:8980:9952][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:14:28] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:14:28,624][pt:8980:9952][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:14:28] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:14:37,578][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py]  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[INFO][tm:2018-12-28 20:14:47,905][pt:8004:5776][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:14:47,905][pt:8004:5776][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ada
[INFO][tm:2018-12-28 20:14:47,951][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:14:47] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:14:48,151][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:14:48] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:00,188][pt:8004:5776][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:16:00,188][pt:8004:5776][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ada
[INFO][tm:2018-12-28 20:16:00,190][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:00] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:00,311][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:00] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:26,328][pt:8004:5776][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:16:26,328][pt:8004:5776][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ada
[INFO][tm:2018-12-28 20:16:26,329][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:26] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:26,426][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:26] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:27,296][pt:8004:5776][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:16:27,296][pt:8004:5776][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ada
[INFO][tm:2018-12-28 20:16:27,296][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:27] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:27,354][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:27] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:27,552][pt:8004:5776][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:16:27,552][pt:8004:5776][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ada
[INFO][tm:2018-12-28 20:16:27,552][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:27] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:27,608][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:27] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:27,776][pt:8004:5776][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:16:27,776][pt:8004:5776][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ada
[INFO][tm:2018-12-28 20:16:27,778][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:27] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:27,841][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:27] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:48,000][pt:8004:5776][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:16:48,000][pt:8004:5776][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ada
[INFO][tm:2018-12-28 20:16:48,000][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:48] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:48,002][pt:8004:5776][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:16:48,002][pt:8004:5776][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ada
[INFO][tm:2018-12-28 20:16:48,003][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:48] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:48,095][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:48] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:49,576][pt:8004:5776][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:16:49,576][pt:8004:5776][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ada
[INFO][tm:2018-12-28 20:16:49,578][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:49] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:49,634][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:49] "GET /static/favicon.ico HTTP/1.1" 200 -
